,tpid,tp_name,genename1,genename2,tp_moatype,tp_tcrd_tdl,gosemsinbp,gosemsincc,gosemsinmf,tp_keggpathways_no,tp_reactomepathways_no,tp_wikipathways_no,tp_associateddrugs_no,tp_associateddiseases_no,dcid,dc_name,dc_sourcetype,fdid,fd_name,md_name,maxphase
62,TP00040,AKT1;EGFR,AKT1,EGFR,CIT+CIT,Tchem+Tclin,0.61,0.658,0.748,36,4,31,2,2,DC01054,Erlotinib;MK2206,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
63,TP00040,AKT1;EGFR,AKT1,EGFR,CIT+CIT,Tchem+Tclin,0.61,0.658,0.748,36,4,31,2,2,DC01054,Erlotinib;MK2206,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
65,TP00041,AKT1;ERBB2,AKT1,ERBB2,CIT+CIT,Tchem+Tclin,0.537,0.654,0.715,17,3,18,2,1,DC00653,Capivasertib;Trastuzumab Deruxtecan,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 1
67,TP00042,AKT1;ESR1,AKT1,ESR1,CIT+CIT,Tchem+Tclin,0.478,0.748,0.522,8,3,6,4,3,DC00651,Capivasertib;Fulvestrant,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 3
68,TP00042,AKT1;ESR1,AKT1,ESR1,CIT+CIT,Tchem+Tclin,0.478,0.748,0.522,8,3,6,4,3,DC00651,Capivasertib;Fulvestrant,DrugComb,FD00038,Prostate Cancer,Prostate Cancer,Phase 1
71,TP00042,AKT1;ESR1,AKT1,ESR1,CIT+CIT,Tchem+Tclin,0.478,0.748,0.522,8,3,6,4,3,DC01192,Fulvestrant;Vevorisertib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
72,TP00043,AKT1;ESR2,AKT1,ESR2,CIT+CIT,Tchem+Tclin,0.373,0.599,0.413,7,3,4,4,3,DC00651,Capivasertib;Fulvestrant,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 3
73,TP00043,AKT1;ESR2,AKT1,ESR2,CIT+CIT,Tchem+Tclin,0.373,0.599,0.413,7,3,4,4,3,DC00651,Capivasertib;Fulvestrant,DrugComb,FD00038,Prostate Cancer,Prostate Cancer,Phase 1
76,TP00043,AKT1;ESR2,AKT1,ESR2,CIT+CIT,Tchem+Tclin,0.373,0.599,0.413,7,3,4,4,3,DC01192,Fulvestrant;Vevorisertib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
77,TP00044,AKT1;IGF1R,AKT1,IGF1R,CIT+CIT,Tchem+Tclin,0.533,0.667,0.706,23,1,23,1,1,DC00841,Dalotuzumab;MK2206,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
78,TP00045,AKT1;MAP2K1,AKT1,MAP2K1,CIT+CIT,Tchem+Tclin,0.484,0.738,0.742,72,0,68,3,3,DC01485,MK2206;Selumetinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
79,TP00045,AKT1;MAP2K1,AKT1,MAP2K1,CIT+CIT,Tchem+Tclin,0.484,0.738,0.742,72,0,68,3,3,DC01485,MK2206;Selumetinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
80,TP00045,AKT1;MAP2K1,AKT1,MAP2K1,CIT+CIT,Tchem+Tclin,0.484,0.738,0.742,72,0,68,3,3,DC00106,Afuresertib;Trametinib,DrugComb,FD00030,Myeloma,Hematologic Malignancy,Phase 1
83,TP00046,AKT1;MAP2K2,AKT1,MAP2K2,CIT+CIT,Tchem+Tclin,0.355,0.718,0.724,64,0,58,3,3,DC01968,Trametinib;Uprosertib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
84,TP00046,AKT1;MAP2K2,AKT1,MAP2K2,CIT+CIT,Tchem+Tclin,0.355,0.718,0.724,64,0,58,3,3,DC00106,Afuresertib;Trametinib,DrugComb,FD00030,Myeloma,Hematologic Malignancy,Phase 1
86,TP00046,AKT1;MAP2K2,AKT1,MAP2K2,CIT+CIT,Tchem+Tclin,0.355,0.718,0.724,64,0,58,3,3,DC01485,MK2206;Selumetinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
88,TP00047,AKT1;MTOR,AKT1,MTOR,CIT+CIT,Tchem+Tclin,0.563,0.646,0.735,43,7,64,1,1,DC01484,MK2206;Ridaforolimus,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
89,TP00048,AKT1;PARP1,AKT1,PARP1,CIT+CIT,Tchem+Tclin,0.466,0.705,0.581,2,0,5,1,1,DC00652,Capivasertib;Olaparib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
90,TP00049,AKT1;PARP2,AKT1,PARP2,CIT+CIT,Tchem+Tclin,0.304,0.555,0.485,1,0,1,1,1,DC00652,Capivasertib;Olaparib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
91,TP00050,AKT2;AR,AKT2,AR,CIT+CIT,Tchem+Tclin,0.424,0.874,0.467,3,0,1,1,1,DC00650,Capivasertib;Enzalutamide,DrugComb,FD00038,Prostate Cancer,Prostate Cancer,Phase 2
92,TP00051,AKT2;CD274,AKT2,CD274,CET+CIT,Tchem+Tclin,0.328,0.643,1.0,1,0,1,1,2,DC00283,Atezolizumab;Ipatasertib,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 2
93,TP00051,AKT2;CD274,AKT2,CD274,CET+CIT,Tchem+Tclin,0.328,0.643,1.0,1,0,1,1,2,DC00283,Atezolizumab;Ipatasertib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
94,TP00052,AKT2;CYP17A1,AKT2,CYP17A1,CIT+CIT,Tchem+Tclin,0.148,0.461,0.322,1,0,0,2,2,DC00046,Abiraterone;Capivasertib,DrugComb,FD00038,Prostate Cancer,Prostate Cancer,Phase 3
95,TP00052,AKT2;CYP17A1,AKT2,CYP17A1,CIT+CIT,Tchem+Tclin,0.148,0.461,0.322,1,0,0,2,2,DC00049,Abiraterone;Ipatasertib,DrugComb,FD00035,Pancreatic Cancer,Pancreatic Cancer,Phase 3
97,TP00053,AKT2;CYP19A1,AKT2,CYP19A1,CIT+CIT,Tchem+Tclin,0.248,0.549,0.316,0,0,1,1,1,DC01326,Ipatasertib;Letrozole,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 1
98,TP00054,AKT2;EGFR,AKT2,EGFR,CIT+CIT,Tchem+Tclin,0.533,0.719,0.673,36,2,20,2,2,DC01054,Erlotinib;MK2206,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
99,TP00054,AKT2;EGFR,AKT2,EGFR,CIT+CIT,Tchem+Tclin,0.533,0.719,0.673,36,2,20,2,2,DC01054,Erlotinib;MK2206,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
101,TP00055,AKT2;ERBB2,AKT2,ERBB2,CIT+CIT,Tchem+Tclin,0.549,0.769,0.741,17,2,11,2,1,DC00653,Capivasertib;Trastuzumab Deruxtecan,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 1
103,TP00056,AKT2;ESR1,AKT2,ESR1,CIT+CIT,Tchem+Tclin,0.418,0.805,0.443,8,1,4,4,3,DC00651,Capivasertib;Fulvestrant,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 3
104,TP00056,AKT2;ESR1,AKT2,ESR1,CIT+CIT,Tchem+Tclin,0.418,0.805,0.443,8,1,4,4,3,DC00651,Capivasertib;Fulvestrant,DrugComb,FD00038,Prostate Cancer,Prostate Cancer,Phase 1
106,TP00056,AKT2;ESR1,AKT2,ESR1,CIT+CIT,Tchem+Tclin,0.418,0.805,0.443,8,1,4,4,3,DC01192,Fulvestrant;Vevorisertib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
108,TP00057,AKT2;ESR2,AKT2,ESR2,CIT+CIT,Tchem+Tclin,0.364,0.633,0.39,7,1,2,4,3,DC01192,Fulvestrant;Vevorisertib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
109,TP00057,AKT2;ESR2,AKT2,ESR2,CIT+CIT,Tchem+Tclin,0.364,0.633,0.39,7,1,2,4,3,DC01160,Fulvestrant;Ipatasertib,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 3
111,TP00057,AKT2;ESR2,AKT2,ESR2,CIT+CIT,Tchem+Tclin,0.364,0.633,0.39,7,1,2,4,3,DC00651,Capivasertib;Fulvestrant,DrugComb,FD00038,Prostate Cancer,Prostate Cancer,Phase 1
113,TP00058,AKT2;IGF1R,AKT2,IGF1R,CIT+CIT,Tchem+Tclin,0.498,0.715,0.722,23,0,13,1,1,DC00841,Dalotuzumab;MK2206,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
114,TP00059,AKT2;MAP2K1,AKT2,MAP2K1,CIT+CIT,Tchem+Tclin,0.445,0.778,0.781,72,0,34,3,3,DC01485,MK2206;Selumetinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
115,TP00059,AKT2;MAP2K1,AKT2,MAP2K1,CIT+CIT,Tchem+Tclin,0.445,0.778,0.781,72,0,34,3,3,DC01485,MK2206;Selumetinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
116,TP00059,AKT2;MAP2K1,AKT2,MAP2K1,CIT+CIT,Tchem+Tclin,0.445,0.778,0.781,72,0,34,3,3,DC00106,Afuresertib;Trametinib,DrugComb,FD00030,Myeloma,Hematologic Malignancy,Phase 1
119,TP00060,AKT2;MAP2K2,AKT2,MAP2K2,CIT+CIT,Tchem+Tclin,0.392,0.695,0.852,64,0,30,3,3,DC01485,MK2206;Selumetinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
120,TP00060,AKT2;MAP2K2,AKT2,MAP2K2,CIT+CIT,Tchem+Tclin,0.392,0.695,0.852,64,0,30,3,3,DC01485,MK2206;Selumetinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
122,TP00060,AKT2;MAP2K2,AKT2,MAP2K2,CIT+CIT,Tchem+Tclin,0.392,0.695,0.852,64,0,30,3,3,DC00106,Afuresertib;Trametinib,DrugComb,FD00030,Myeloma,Hematologic Malignancy,Phase 1
124,TP00061,AKT2;MTOR,AKT2,MTOR,CIT+CIT,Tchem+Tclin,0.428,0.69,0.744,43,6,27,1,1,DC01484,MK2206;Ridaforolimus,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
125,TP00062,AKT2;PARP1,AKT2,PARP1,CIT+CIT,Tchem+Tclin,0.439,0.734,0.549,2,0,1,1,1,DC00652,Capivasertib;Olaparib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
126,TP00063,AKT2;PARP2,AKT2,PARP2,CIT+CIT,Tchem+Tclin,0.337,0.601,0.444,1,0,0,1,1,DC00652,Capivasertib;Olaparib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
127,TP00064,AKT3;AR,AKT3,AR,CIT+CIT,Tchem+Tclin,0.379,0.755,0.426,3,0,2,1,1,DC00650,Capivasertib;Enzalutamide,DrugComb,FD00038,Prostate Cancer,Prostate Cancer,Phase 2
128,TP00065,AKT3;CD274,AKT3,CD274,CET+CIT,Tchem+Tclin,0.311,0.531,1.0,1,0,1,1,2,DC00283,Atezolizumab;Ipatasertib,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 2
129,TP00065,AKT3;CD274,AKT3,CD274,CET+CIT,Tchem+Tclin,0.311,0.531,1.0,1,0,1,1,2,DC00283,Atezolizumab;Ipatasertib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
130,TP00066,AKT3;CYP17A1,AKT3,CYP17A1,CIT+CIT,Tchem+Tclin,0.136,0.479,0.237,1,0,0,2,2,DC00046,Abiraterone;Capivasertib,DrugComb,FD00038,Prostate Cancer,Prostate Cancer,Phase 3
131,TP00066,AKT3;CYP17A1,AKT3,CYP17A1,CIT+CIT,Tchem+Tclin,0.136,0.479,0.237,1,0,0,2,2,DC00049,Abiraterone;Ipatasertib,DrugComb,FD00035,Pancreatic Cancer,Pancreatic Cancer,Phase 3
133,TP00067,AKT3;CYP19A1,AKT3,CYP19A1,CIT+CIT,Tchem+Tclin,0.234,0.71,0.253,0,0,1,1,1,DC01326,Ipatasertib;Letrozole,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 1
134,TP00068,AKT3;EGFR,AKT3,EGFR,CIT+CIT,Tchem+Tclin,0.465,0.584,0.706,36,2,21,2,2,DC01054,Erlotinib;MK2206,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
135,TP00068,AKT3;EGFR,AKT3,EGFR,CIT+CIT,Tchem+Tclin,0.465,0.584,0.706,36,2,21,2,2,DC01054,Erlotinib;MK2206,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
137,TP00069,AKT3;ERBB2,AKT3,ERBB2,CIT+CIT,Tchem+Tclin,0.55,0.628,0.781,17,2,11,2,1,DC00653,Capivasertib;Trastuzumab Deruxtecan,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 1
139,TP00070,AKT3;ESR1,AKT3,ESR1,CIT+CIT,Tchem+Tclin,0.334,0.695,0.409,8,1,3,4,3,DC00651,Capivasertib;Fulvestrant,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 3
140,TP00070,AKT3;ESR1,AKT3,ESR1,CIT+CIT,Tchem+Tclin,0.334,0.695,0.409,8,1,3,4,3,DC00651,Capivasertib;Fulvestrant,DrugComb,FD00038,Prostate Cancer,Prostate Cancer,Phase 1
142,TP00070,AKT3;ESR1,AKT3,ESR1,CIT+CIT,Tchem+Tclin,0.334,0.695,0.409,8,1,3,4,3,DC01192,Fulvestrant;Vevorisertib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
144,TP00071,AKT3;ESR2,AKT3,ESR2,CIT+CIT,Tchem+Tclin,0.346,0.687,0.333,7,1,2,4,3,DC00651,Capivasertib;Fulvestrant,DrugComb,FD00007,Breast Cancer,Breast Cancer,Phase 3
145,TP00071,AKT3;ESR2,AKT3,ESR2,CIT+CIT,Tchem+Tclin,0.346,0.687,0.333,7,1,2,4,3,DC00651,Capivasertib;Fulvestrant,DrugComb,FD00038,Prostate Cancer,Prostate Cancer,Phase 1
147,TP00071,AKT3;ESR2,AKT3,ESR2,CIT+CIT,Tchem+Tclin,0.346,0.687,0.333,7,1,2,4,3,DC01192,Fulvestrant;Vevorisertib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
149,TP00072,AKT3;IGF1R,AKT3,IGF1R,CIT+CIT,Tchem+Tclin,0.439,0.638,0.768,23,0,11,1,1,DC00841,Dalotuzumab;MK2206,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
150,TP00073,AKT3;MAP2K1,AKT3,MAP2K1,CIT+CIT,Tchem+Tclin,0.475,0.681,0.824,72,0,31,3,3,DC01485,MK2206;Selumetinib,DrugComb,FD00023,Lung Cancer,Lung Cancer,Phase 2
151,TP00073,AKT3;MAP2K1,AKT3,MAP2K1,CIT+CIT,Tchem+Tclin,0.475,0.681,0.824,72,0,31,3,3,DC01485,MK2206;Selumetinib,DrugComb,FD00033,Other Cancer,Other Cancer,Phase 1
