dcid	dc_name	dc_sourcetype	fdid	fd_name	md_name	maxphase
DC00123	Alemtuzumab;Rituximab	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 2
DC00124	Alextatug;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00125	Alflutinib;Anlotinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00126	Alflutinib;Bevacizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00127	Alflutinib;Disitamab Vedotin	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00128	Alflutinib;Ifebemtinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00129	Alflutinib;RC108	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00130	Alflutinib;RC108;Toripalimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00131	Alirocumab;Cemiplimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00132	Alisertib;Brentuximab Vedotin	DrugComb	FD00019	Hematologic Malignancies	Hematologic Malignancy	Phase 1
DC00133	Alisertib;Erlotinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00134	Alisertib;Osimertinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00135	Alisertib;Pazopanib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00136	Alisertib;Sapanisertib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC00136	Alisertib;Sapanisertib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00137	Alisertib;Serabelisib	DrugComb	FD00041	Stomach Cancer	Stomach Cancer	Phase 1
DC00138	Alisertib;Tovorafenib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00139	Allitinib;Anlotinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00140	Alobresib;Enzalutamide	DrugComb	FD00038	Prostate Cancer	Prostate Cancer	Phase 1|Phase 2
DC00141	Alobresib;Exemestane	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC00142	Alobresib;Fulvestrant	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC00143	Alomfilimab;Atezolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00144	Alpelisib;Binimetinib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00145	Alpelisib;Cetuximab	DrugComb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1
DC00146	Alpelisib;Cetuximab;Encorafenib	DrugComb	FD00011	Colorectal Cancer	Colorectal Cancer	Phase 2
DC00147	Alpelisib;Enzalutamide	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC00148	Alpelisib;Fulvestrant	DrugComb	FD00007	Breast Cancer	Breast Cancer	Approval
DC00149	Alpelisib;Fulvestrant;Ribociclib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC00150	Alpelisib;Ganitumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC00151	Alpelisib;Infigratinib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00152	Alpelisib;Letrozole	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC00153	Alpelisib;Letrozole;Ribociclib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC00154	Alpelisib;LGH447	DrugComb	FD00030	Myeloma	Hematologic Malignancy	Phase 1
DC00155	Alpelisib;Luminespib	DrugComb	FD00041	Stomach Cancer	Stomach Cancer	Phase 1
DC00156	Alpelisib;Olaparib	DrugComb	FD00034	Ovarian Cancer	Ovarian Cancer	Phase 3
DC00157	Alpelisib;Pertuzumab;Trastuzumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 3
DC00158	Alpelisib;Ribociclib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC00159	Alpelisib;Sotrastaurin Acetate	DrugComb	FD00026	Melanoma	Melanoma	Phase 1
DC00160	Alpelisib;Tipifarnib	DrugComb	FD00018	Head and Neck Cancer	Head and Neck Cancer	Phase 1|Phase 2
DC00161	Alrizomadlin;Lisaftoclax	DrugComb	FD00024	Lymphoma	Hematologic Malignancy	Phase 2
DC00161	Alrizomadlin;Lisaftoclax	DrugComb	FD00031	Neuroblastoma	Other Cancer	Phase 1
DC00162	Alrizomadlin;Pembrolizumab	DrugComb	FD00026	Melanoma	Melanoma	Phase 1|Phase 2
DC00163	Alrizomadlin;Toripalimab	DrugComb	FD00040	Soft Tissue Sarcoma	Other Cancer	Phase 1|Phase 2
DC00164	ALT803;Atezolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00165	ALT803;Atezolizumab;Ramucirumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00166	ALT803;Avelumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00167	ALT803;Durvalumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00168	ALT803;Nivolumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00169	ALT803;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 3
DC00170	Alvocidib;Venetoclax	DrugComb	FD00021	Leukemia	Hematologic Malignancy	Phase 1
DC00171	Amcasertib;Napabucasin	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00172	Amcasertib;Sorafenib	DrugComb	FD00022	Liver Cancer	Liver Cancer	Phase 1
DC00173	Ametinib;Bevacizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00174	AMG193;IDE397	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00175	AMG820;Pembrolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00176	Amivantamab;Bevacizumab;Lazertinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00177	Amivantamab;Capmatinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00178	Amivantamab;Cetrelimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00179	Amivantamab;Lazertinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 3
DC00180	Amivantamab;Tepotinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1|Phase 2
DC00181	AMX-818;Pembrolizumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC00182	Anastrozole;Bevacizumab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00183	Anastrozole;Durvalumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC00184	Anastrozole;Entinostat	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC00185	Anastrozole;Erlotinib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00186	Anastrozole;Everolimus	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00187	Anastrozole;Everolimus;Fulvestrant	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 3
DC00188	Anastrozole;Fulvestrant	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 3
DC00189	Anastrozole;Gefitinib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC00190	Anastrozole;Goserelin	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC00191	Anastrozole;Palbociclib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC00192	Anastrozole;Saracatinib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1|Phase 2
DC00193	Anastrozole;Sorafenib	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1
DC00194	Anastrozole;Tamoxifen	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 3
DC00195	Anastrozole;Trastuzumab	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 3
DC00196	Anastrozole;Trastuzumab Deruxtecan	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 1
DC00197	Anastrozole;Tretinoin	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC00198	Anastrozole;Vandetanib	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 2
DC00199	Anastrozole;Vistusertib	DrugComb	FD00034	Ovarian Cancer	Ovarian Cancer	Phase 1|Phase 2
DC00200	Anastrozole;XZP3287	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 3
DC00201	Anbenitamab;Erfonrilimab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 2
DC00201	Anbenitamab;Erfonrilimab	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 2
DC00201	Anbenitamab;Erfonrilimab	DrugComb	FD00041	Stomach Cancer	Stomach Cancer	Phase 2
DC00202	Andecaliximab;Nivolumab	DrugComb	FD00041	Stomach Cancer	Stomach Cancer	Phase 2
DC00203	Anetumab Ravtansine;Atezolizumab	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 1
DC00204	Anlotinib;Aumolertinib	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 3
DC00205	Anlotinib;Benmelstobart	DrugComb	FD00007	Breast Cancer	Breast Cancer	Phase 3
DC00205	Anlotinib;Benmelstobart	DrugComb	FD00020	Kidney Cancer	Kidney Cancer	Phase 3
DC00205	Anlotinib;Benmelstobart	DrugComb	FD00022	Liver Cancer	Liver Cancer	Phase 3
DC00205	Anlotinib;Benmelstobart	DrugComb	FD00023	Lung Cancer	Lung Cancer	Phase 3
DC00205	Anlotinib;Benmelstobart	DrugComb	FD00026	Melanoma	Melanoma	Phase 1|Phase 2
DC00205	Anlotinib;Benmelstobart	DrugComb	FD00033	Other Cancer	Other Cancer	Phase 1|Phase 2
DC00205	Anlotinib;Benmelstobart	DrugComb	FD00034	Ovarian Cancer	Ovarian Cancer	Phase 2
