tpid	tp_name	genename1	genename2	tp_moatype	tp_tcrd_tdl	gosemsinbp	gosemsincc	gosemsinmf	tp_keggpathways_no	tp_reactomepathways_no	tp_wikipathways_no	tp_associateddrugs_no	tp_associateddiseases_no
TP00032	ADORA2A;TIGIT	ADORA2A	TIGIT	CET+CET	Tbio+Tclin	0.136	0.516	0.684	0	0	0	1	1
TP00033	ADORA2B;EGFR	ADORA2B	EGFR	CIT+CIT	Tclin+Tclin	0.347	0.457	0.532	2	0	0	1	1
TP00034	ADORA2B;ERBB3	ADORA2B	ERBB3	CIT+CIT	Tclin+Tclin	0.414	0.659	0.63	1	0	0	1	1
TP00035	ADORA2B;PDCD1	ADORA2B	PDCD1	CET+CIT	Tclin+Tclin	0.213	0.648	1.0	0	0	0	3	2
TP00036	AKT1;AR	AKT1	AR	CIT+CIT	Tchem+Tclin	0.484	0.775	0.465	3	0	3	1	1
TP00037	AKT1;CD274	AKT1	CD274	CET+CIT	Tchem+Tclin	0.384	0.584	1.0	1	0	1	1	2
TP00038	AKT1;CYP17A1	AKT1	CYP17A1	CIT+CIT	Tchem+Tclin	0.144	0.434	0.241	1	0	2	2	2
TP00039	AKT1;CYP19A1	AKT1	CYP19A1	CIT+CIT	Tchem+Tclin	0.244	0.491	0.255	0	0	3	1	1
TP00040	AKT1;EGFR	AKT1	EGFR	CIT+CIT	Tchem+Tclin	0.61	0.658	0.748	36	4	31	2	2
TP00041	AKT1;ERBB2	AKT1	ERBB2	CIT+CIT	Tchem+Tclin	0.537	0.654	0.715	17	3	18	2	1
TP00042	AKT1;ESR1	AKT1	ESR1	CIT+CIT	Tchem+Tclin	0.478	0.748	0.522	8	3	6	4	3
TP00043	AKT1;ESR2	AKT1	ESR2	CIT+CIT	Tchem+Tclin	0.373	0.599	0.413	7	3	4	4	3
TP00044	AKT1;IGF1R	AKT1	IGF1R	CIT+CIT	Tchem+Tclin	0.533	0.667	0.706	23	1	23	1	1
TP00045	AKT1;MAP2K1	AKT1	MAP2K1	CIT+CIT	Tchem+Tclin	0.484	0.738	0.742	72	0	68	3	3
TP00046	AKT1;MAP2K2	AKT1	MAP2K2	CIT+CIT	Tchem+Tclin	0.355	0.718	0.724	64	0	58	3	3
TP00047	AKT1;MTOR	AKT1	MTOR	CIT+CIT	Tchem+Tclin	0.563	0.646	0.735	43	7	64	1	1
TP00048	AKT1;PARP1	AKT1	PARP1	CIT+CIT	Tchem+Tclin	0.466	0.705	0.581	2	0	5	1	1
TP00049	AKT1;PARP2	AKT1	PARP2	CIT+CIT	Tchem+Tclin	0.304	0.555	0.485	1	0	1	1	1
TP00050	AKT2;AR	AKT2	AR	CIT+CIT	Tchem+Tclin	0.424	0.874	0.467	3	0	1	1	1
TP00051	AKT2;CD274	AKT2	CD274	CET+CIT	Tchem+Tclin	0.328	0.643	1.0	1	0	1	1	2
TP00052	AKT2;CYP17A1	AKT2	CYP17A1	CIT+CIT	Tchem+Tclin	0.148	0.461	0.322	1	0	0	2	2
TP00053	AKT2;CYP19A1	AKT2	CYP19A1	CIT+CIT	Tchem+Tclin	0.248	0.549	0.316	0	0	1	1	1
TP00054	AKT2;EGFR	AKT2	EGFR	CIT+CIT	Tchem+Tclin	0.533	0.719	0.673	36	2	20	2	2
TP00055	AKT2;ERBB2	AKT2	ERBB2	CIT+CIT	Tchem+Tclin	0.549	0.769	0.741	17	2	11	2	1
TP00056	AKT2;ESR1	AKT2	ESR1	CIT+CIT	Tchem+Tclin	0.418	0.805	0.443	8	1	4	4	3
TP00057	AKT2;ESR2	AKT2	ESR2	CIT+CIT	Tchem+Tclin	0.364	0.633	0.39	7	1	2	4	3
TP00058	AKT2;IGF1R	AKT2	IGF1R	CIT+CIT	Tchem+Tclin	0.498	0.715	0.722	23	0	13	1	1
TP00059	AKT2;MAP2K1	AKT2	MAP2K1	CIT+CIT	Tchem+Tclin	0.445	0.778	0.781	72	0	34	3	3
TP00060	AKT2;MAP2K2	AKT2	MAP2K2	CIT+CIT	Tchem+Tclin	0.392	0.695	0.852	64	0	30	3	3
TP00061	AKT2;MTOR	AKT2	MTOR	CIT+CIT	Tchem+Tclin	0.428	0.69	0.744	43	6	27	1	1
TP00062	AKT2;PARP1	AKT2	PARP1	CIT+CIT	Tchem+Tclin	0.439	0.734	0.549	2	0	1	1	1
TP00063	AKT2;PARP2	AKT2	PARP2	CIT+CIT	Tchem+Tclin	0.337	0.601	0.444	1	0	0	1	1
TP00064	AKT3;AR	AKT3	AR	CIT+CIT	Tchem+Tclin	0.379	0.755	0.426	3	0	2	1	1
TP00065	AKT3;CD274	AKT3	CD274	CET+CIT	Tchem+Tclin	0.311	0.531	1.0	1	0	1	1	2
TP00066	AKT3;CYP17A1	AKT3	CYP17A1	CIT+CIT	Tchem+Tclin	0.136	0.479	0.237	1	0	0	2	2
TP00067	AKT3;CYP19A1	AKT3	CYP19A1	CIT+CIT	Tchem+Tclin	0.234	0.71	0.253	0	0	1	1	1
TP00068	AKT3;EGFR	AKT3	EGFR	CIT+CIT	Tchem+Tclin	0.465	0.584	0.706	36	2	21	2	2
TP00069	AKT3;ERBB2	AKT3	ERBB2	CIT+CIT	Tchem+Tclin	0.55	0.628	0.781	17	2	11	2	1
TP00070	AKT3;ESR1	AKT3	ESR1	CIT+CIT	Tchem+Tclin	0.334	0.695	0.409	8	1	3	4	3
TP00071	AKT3;ESR2	AKT3	ESR2	CIT+CIT	Tchem+Tclin	0.346	0.687	0.333	7	1	2	4	3
TP00072	AKT3;IGF1R	AKT3	IGF1R	CIT+CIT	Tchem+Tclin	0.439	0.638	0.768	23	0	11	1	1
TP00073	AKT3;MAP2K1	AKT3	MAP2K1	CIT+CIT	Tchem+Tclin	0.475	0.681	0.824	72	0	31	3	3
TP00074	AKT3;MAP2K2	AKT3	MAP2K2	CIT+CIT	Tchem+Tclin	0.447	0.621	0.817	64	0	27	3	3
TP00075	AKT3;MTOR	AKT3	MTOR	CIT+CIT	Tchem+Tclin	0.395	0.641	0.785	43	6	21	1	1
TP00076	AKT3;PARP1	AKT3	PARP1	CIT+CIT	Tchem+Tclin	0.367	0.629	0.522	2	0	1	1	1
TP00077	AKT3;PARP2	AKT3	PARP2	CIT+CIT	Tchem+Tclin	0.375	0.653	0.458	1	0	0	1	1
TP00078	ALCAM;CD274	ALCAM	CD274	CET+CIT	Tbio+Tclin	0.349	0.603	1.0	1	0	0	1	1
TP00079	ALK;AR	ALK	AR	CIT+CIT	Tclin+Tclin	0.521	0.57	0.441	1	0	1	1	1
TP00080	ALK;CD274	ALK	CD274	CET+CIT	Tclin+Tclin	0.338	0.571	1.0	1	0	0	4	1
TP00081	ALK;CDK4	ALK	CDK4	CIT+CIT	Tclin+Tclin	0.512	0.365	0.781	2	0	2	1	1
TP00082	ALK;CDK6	ALK	CDK6	CIT+CIT	Tclin+Tclin	0.527	0.32	0.79	2	0	2	1	1
TP00083	ALK;CTLA4	ALK	CTLA4	CET+CIT	Tclin+Tclin	0.302	0.657	1.0	0	0	0	1	1
TP00084	ALK;EGFR	ALK	EGFR	CIT+CIT	Tclin+Tclin	0.585	0.557	0.77	3	0	2	3	1
TP00085	ALK;HSP90AA1	ALK	HSP90AA1	CIT+CIT	Tchem+Tclin	0.378	0.51	0.618	1	0	1	3	1
TP00086	ALK;HSP90AB1	ALK	HSP90AB1	CIT+CIT	Tchem+Tclin	0.401	0.51	0.614	1	0	1	3	1
TP00087	ALK;KDR	ALK	KDR	CET+CIT	Tclin+Tclin	0.564	0.612	0.862	0	0	0	1	1
TP00088	ALK;MAP2K1	ALK	MAP2K1	CIT+CIT	Tclin+Tclin	0.59	0.394	0.774	3	0	4	3	2
TP00089	ALK;MAP2K2	ALK	MAP2K2	CIT+CIT	Tclin+Tclin	0.504	0.345	0.76	3	0	4	2	2
TP00090	ALK;MTOR	ALK	MTOR	CIT+CIT	Tclin+Tclin	0.466	0.354	0.71	2	0	1	1	1
TP00091	ALK;PDCD1	ALK	PDCD1	CET+CIT	Tclin+Tclin	0.363	0.578	1.0	1	0	0	3	1
TP00092	ALK;PTPN11	ALK	PTPN11	CIT+CIT	Tchem+Tclin	0.47	0.483	0.483	1	0	1	1	1
TP00093	ALK;VEGFA	ALK	VEGFA	CET+CIT	Tclin+Tclin	0.48	0.424	0.525	1	0	2	3	1
TP00094	ANGPT1;MTOR	ANGPT1	MTOR	CIT+CIT	Tbio+Tclin	0.402	0.365	0.459	2	0	3	1	1
TP00095	ANGPT1;PDCD1	ANGPT1	PDCD1	CET+CIT	Tbio+Tclin	0.306	0.512	1.0	0	0	0	1	1
TP00096	ANGPT2;CD40	ANGPT2	CD40	CET+CET	Tchem+Tclin	0.412	0.672	0.646	0	0	0	1	1
TP00097	ANGPT2;CD79B	ANGPT2	CD79B	CET+CIT	Tclin+Tclin	0.359	0.626	0.656	0	0	0	1	1
TP00098	ANGPT2;CRBN	ANGPT2	CRBN	CET+CIT	Tclin+Tclin	0.151	0.558	0.866	0	0	0	1	1
TP00099	ANGPT2;MTOR	ANGPT2	MTOR	CET+CIT	Tclin+Tclin	0.354	0.526	0.412	3	0	3	1	1
TP00100	ANGPT2;PDCD1	ANGPT2	PDCD1	CET+CET	Tclin+Tclin	0.315	0.539	1.0	0	0	0	2	3
TP00101	ANGPT2;VEGFA	ANGPT2	VEGFA	CET+CET	Tclin+Tclin	0.466	0.658	0.636	6	0	4	4	7
TP00102	AR;BRD2	AR	BRD2	CIT+CIT	Tchem+Tclin	0.338	0.879	0.525	0	0	0	2	1
TP00103	AR;BRD3	AR	BRD3	CIT+CIT	Tchem+Tclin	0.217	0.663	0.544	0	0	0	2	1
TP00104	AR;BRD4	AR	BRD4	CIT+CIT	Tchem+Tclin	0.353	0.733	0.578	0	0	0	2	1
TP00105	AR;BRDT	AR	BRDT	CIT+CIT	Tchem+Tclin	0.365	0.663	0.415	0	0	1	2	1
TP00106	AR;CD274	AR	CD274	CET+CIT	Tclin+Tclin	0.32	0.624	1.0	0	0	0	1	1
TP00107	AR;CDK2	AR	CDK2	CIT+CIT	Tchem+Tclin	0.435	0.723	0.447	3	0	2	1	1
TP00108	AR;CDK4	AR	CDK4	CIT+CIT	Tclin+Tclin	0.505	0.73	0.427	1	0	2	4	2
TP00109	AR;CDK6	AR	CDK6	CIT+CIT	Tclin+Tclin	0.466	0.732	0.452	1	0	1	4	2
TP00110	AR;CYP19A1	AR	CYP19A1	CIT+CIT	Tclin+Tclin	0.365	0.524	0.291	0	0	0	2	1
TP00111	AR;ENG	AR	ENG	CIT+CIT	Tbio+Tclin	0.471	0.636	0.482	0	0	0	2	1
TP00112	AR;ERBB2	AR	ERBB2	CIT+CIT	Tclin+Tclin	0.54	0.73	0.495	2	0	1	1	1
TP00113	AR;FASN	AR	FASN	CIT+CIT	Tchem+Tclin	0.281	0.712	0.367	0	0	0	1	1
TP00114	AR;FLT1	AR	FLT1	CET+CIT	Tclin+Tclin	0.455	0.574	0.436	0	0	0	1	1
TP00115	AR;FLT4	AR	FLT4	CET+CIT	Tclin+Tclin	0.483	0.812	0.464	1	0	1	1	1
TP00116	AR;GNRHR	AR	GNRHR	CIT+CIT	Tclin+Tclin	0.373	0.518	0.242	0	0	0	3	1
TP00117	AR;HDAC1	AR	HDAC1	CIT+CIT	Tclin+Tclin	0.525	0.851	0.653	1	0	3	2	1
TP00118	AR;HDAC10	AR	HDAC10	CIT+CIT	Tclin+Tclin	0.255	0.795	0.519	0	0	0	1	1
TP00119	AR;HDAC11	AR	HDAC11	CIT+CIT	Tclin+Tclin	0.158	0.697	0.489	0	0	0	1	1
TP00120	AR;HDAC2	AR	HDAC2	CIT+CIT	Tclin+Tclin	0.481	0.858	0.598	1	0	1	2	1
TP00121	AR;HDAC3	AR	HDAC3	CIT+CIT	Tclin+Tclin	0.393	0.857	0.589	0	1	0	2	1
TP00122	AR;HDAC4	AR	HDAC4	CIT+CIT	Tclin+Tclin	0.42	0.851	0.639	0	1	0	1	1
TP00123	AR;HDAC5	AR	HDAC5	CIT+CIT	Tclin+Tclin	0.36	0.833	0.642	0	0	0	1	1
TP00124	AR;HDAC6	AR	HDAC6	CIT+CIT	Tclin+Tclin	0.371	0.682	0.633	0	1	0	1	1
TP00125	AR;HDAC7	AR	HDAC7	CIT+CIT	Tclin+Tclin	0.33	0.823	0.564	0	0	0	1	1
TP00126	AR;HDAC8	AR	HDAC8	CIT+CIT	Tclin+Tclin	0.257	0.861	0.527	0	0	0	2	1
TP00127	AR;HDAC9	AR	HDAC9	CIT+CIT	Tclin+Tclin	0.35	0.821	0.552	0	0	1	1	1
TP00128	AR;KDR	AR	KDR	CET+CIT	Tclin+Tclin	0.505	0.663	0.477	0	0	0	1	1
TP00129	AR;MET	AR	MET	CIT+CIT	Tclin+Tclin	0.518	0.552	0.436	1	0	1	1	1
TP00130	AR;MTOR	AR	MTOR	CIT+CIT	Tclin+Tclin	0.438	0.692	0.493	3	0	3	3	1
TP00131	AR;PARP1	AR	PARP1	CIT+CIT	Tclin+Tclin	0.417	0.808	0.608	0	0	1	2	1
TP00132	AR;PARP2	AR	PARP2	CIT+CIT	Tclin+Tclin	0.239	0.707	0.533	0	0	0	2	1
TP00133	AR;PIK3CA	AR	PIK3CA	CIT+CIT	Tclin+Tclin	0.427	0.612	0.37	3	0	3	2	2
TP00134	AR;PIK3CB	AR	PIK3CB	CIT+CIT	Tchem+Tclin	0.406	0.798	0.406	3	0	1	1	1
TP00135	AR;TGFBR1	AR	TGFBR1	CIT+CIT	Tchem+Tclin	0.571	0.635	0.475	1	1	1	1	1
TP00136	AR;TNFSF11	AR	TNFSF11	CIT+CIT	Tclin+Tclin	0.518	0.634	0.527	1	0	0	1	1
TP00137	ARAF;AURKA	ARAF	AURKA	CIT+CIT	Tchem+Tchem	0.406	0.494	0.881	1	0	0	1	1
TP00138	ARAF;EGFR	ARAF	EGFR	CIT+CIT	Tchem+Tclin	0.416	0.457	0.708	22	0	11	1	1
TP00139	ARAF;KRAS	ARAF	KRAS	CIT+CIT	Tchem+Tclin	0.434	0.581	0.383	34	3	20	2	1
TP00140	ARAF;MAP2K1	ARAF	MAP2K1	CIT+CIT	Tchem+Tclin	0.384	0.649	0.806	36	8	22	4	5
TP00141	ARAF;MAP2K2	ARAF	MAP2K2	CIT+CIT	Tchem+Tclin	0.58	0.612	0.862	31	8	21	4	5
TP00142	ARAF;MTOR	ARAF	MTOR	CIT+CIT	Tchem+Tclin	0.319	0.567	0.77	16	0	10	1	2
TP00143	ARAF;PDCD1	ARAF	PDCD1	CET+CIT	Tchem+Tclin	0.302	0.292	1.0	0	0	0	1	1
TP00144	ARAF;PTK2	ARAF	PTK2	CET+CIT	Tchem+Tclin	0.437	0.561	0.768	6	0	4	1	3
TP00145	ARG1;PDCD1	ARG1	PDCD1	CET+CIT	Tchem+Tclin	0.284	0.273	1.0	0	0	1	1	1
TP00146	ATR;BTK	ATR	BTK	CIT+CIT	Tchem+Tclin	0.357	0.574	0.698	0	0	0	1	1
TP00147	ATR;CD274	ATR	CD274	CET+CIT	Tchem+Tclin	0.238	0.546	1.0	0	0	0	2	4
TP00148	ATR;PARP1	ATR	PARP1	CIT+CIT	Tchem+Tclin	0.516	0.773	0.569	0	0	4	2	4
TP00149	ATR;PARP2	ATR	PARP2	CIT+CIT	Tchem+Tclin	0.444	0.859	0.535	0	0	1	2	4
TP00150	ATR;PDCD1	ATR	PDCD1	CET+CIT	Tchem+Tclin	0.227	0.204	1.0	0	0	0	1	1
TP00151	ATR;PIK3CA	ATR	PIK3CA	CIT+CIT	Tchem+Tclin	0.36	0.347	0.738	4	0	2	1	1
TP00152	ATR;PIK3CD	ATR	PIK3CD	CIT+CIT	Tchem+Tclin	0.319	0.375	0.649	4	0	1	1	1
TP00153	ATR;PKMYT1	ATR	PKMYT1	CIT+CIT	Tchem+Tchem	0.306	0.766	0.828	1	0	1	1	1
TP00154	AURKA;BRAF	AURKA	BRAF	CIT+CIT	Tchem+Tclin	0.401	0.583	0.858	1	0	0	1	1
TP00155	AURKA;EGFR	AURKA	EGFR	CIT+CIT	Tchem+Tclin	0.405	0.487	0.736	0	0	1	4	1
TP00156	AURKA;KRAS	AURKA	KRAS	CIT+CIT	Tchem+Tclin	0.384	0.458	0.425	1	0	0	1	1
TP00157	AURKA;MTOR	AURKA	MTOR	CIT+CIT	Tchem+Tclin	0.399	0.575	0.763	0	0	1	1	2
TP00158	AURKA;PIK3CA	AURKA	PIK3CA	CIT+CIT	Tchem+Tclin	0.4	0.478	0.773	1	0	0	1	1
TP00159	AURKA;RAF1	AURKA	RAF1	CIT+CIT	Tchem+Tclin	0.458	0.557	0.883	1	0	0	1	1
TP00160	AURKA;TNFRSF8	AURKA	TNFRSF8	CIT+CIT	Tchem+Tclin	0.243	0.422	0.176	0	0	0	1	1
TP00161	AXL;BTK	AXL	BTK	CIT+CIT	Tchem+Tclin	0.523	0.547	0.742	0	0	0	1	2
TP00162	AXL;CD274	AXL	CD274	CET+CIT	Tchem+Tclin	0.456	0.676	1.0	0	0	0	3	2
TP00163	AXL;EGFR	AXL	EGFR	CIT+CIT	Tchem+Tclin	0.552	0.659	0.753	1	0	2	3	1
TP00164	AXL;PDCD1	AXL	PDCD1	CET+CIT	Tchem+Tclin	0.364	0.49	1.0	0	0	0	4	6
TP00165	BCL2;BTK	BCL2	BTK	CIT+CIT	Tclin+Tclin	0.408	0.703	0.5	2	0	0	3	2
TP00166	BCL2;CD37	BCL2	CD37	CET+CIT	Tbio+Tclin	nan	0.46	1.0	0	0	0	1	1
TP00167	BCL2;CD70	BCL2	CD70	CIT+CIT	Tbio+Tclin	0.281	0.359	0.628	0	0	0	1	1
TP00168	BCL2;CDK1	BCL2	CDK1	CIT+CIT	Tchem+Tclin	0.477	0.732	0.425	2	0	3	2	1
TP00169	BCL2;CDK2	BCL2	CDK2	CIT+CIT	Tchem+Tclin	0.358	0.626	0.452	9	0	9	3	2
TP00170	BCL2;CDK4	BCL2	CDK4	CIT+CIT	Tclin+Tclin	0.431	0.677	0.462	8	0	8	3	2
TP00171	BCL2;CDK5	BCL2	CDK5	CIT+CIT	Tchem+Tclin	0.459	0.581	0.472	1	0	0	2	2
TP00172	BCL2;CDK6	BCL2	CDK6	CIT+CIT	Tclin+Tclin	0.424	0.666	0.487	7	0	4	3	2
TP00173	BCL2;CDK9	BCL2	CDK9	CIT+CIT	Tchem+Tclin	0.335	0.707	0.479	0	1	1	3	2
TP00174	BCL2;EGFR	BCL2	EGFR	CIT+CIT	Tclin+Tclin	0.519	0.69	0.575	15	1	11	2	1
TP00175	BCL2;ESR1	BCL2	ESR1	CIT+CIT	Tclin+Tclin	0.427	0.804	0.561	4	1	3	1	1
TP00176	BCL2;ESR2	BCL2	ESR2	CIT+CIT	Tclin+Tclin	0.282	0.655	0.542	4	0	2	1	1
TP00177	BCL2;EZH2	BCL2	EZH2	CIT+CIT	Tclin+Tclin	0.426	0.659	0.496	1	0	1	1	1
TP00178	BCL2;FLT3	BCL2	FLT3	CIT+CIT	Tclin+Tclin	0.461	0.741	0.473	2	0	4	3	2
TP00179	BCL2;HDAC1	BCL2	HDAC1	CIT+CIT	Tclin+Tclin	0.423	0.72	0.59	3	2	2	1	1
TP00180	BCL2;HDAC10	BCL2	HDAC10	CIT+CIT	Tclin+Tclin	0.194	0.699	0.491	0	0	0	1	1
TP00181	BCL2;HDAC2	BCL2	HDAC2	CIT+CIT	Tclin+Tclin	0.44	0.72	0.597	3	0	1	1	1
TP00182	BCL2;HDAC3	BCL2	HDAC3	CIT+CIT	Tclin+Tclin	0.34	0.754	0.587	0	0	1	1	1
TP00183	BCL2;IDH2	BCL2	IDH2	CIT+CIT	Tclin+Tclin	0.131	0.646	0.191	0	0	1	1	1
TP00184	BCL2;IRAK4	BCL2	IRAK4	CET+CIT	Tchem+Tclin	0.279	0.68	0.474	12	0	2	1	2
TP00185	BCL2;JAK1	BCL2	JAK1	CIT+CIT	Tclin+Tclin	0.376	0.708	0.549	12	1	12	2	3
TP00186	BCL2;JAK2	BCL2	JAK2	CIT+CIT	Tclin+Tclin	0.525	0.654	0.546	13	1	9	2	3
TP00187	BCL2;KDM1A	BCL2	KDM1A	CET+CIT	Tchem+Tclin	0.391	0.655	0.54	0	1	1	1	1
TP00188	BCL2;MAP2K1	BCL2	MAP2K1	CIT+CIT	Tclin+Tclin	0.434	0.715	0.435	22	0	15	1	1
TP00189	BCL2;MCL1	BCL2	MCL1	CIT+CIT	Tchem+Tclin	0.406	0.879	0.718	4	1	10	2	3
TP00190	BCL2;MDM2	BCL2	MDM2	CIT+CIT	Tchem+Tclin	0.449	0.77	0.59	9	0	11	3	4
TP00191	BCL2;MEN1	BCL2	MEN1	CIT+CIT	Tchem+Tclin	0.424	0.746	0.613	0	0	1	1	1
TP00192	BCL2;MS4A1	BCL2	MS4A1	CIT+CIT	Tclin+Tclin	0.327	0.536	0.603	0	0	0	4	3
TP00193	BCL2;NOTCH1	BCL2	NOTCH1	CIT+CIT	Tchem+Tclin	0.496	0.739	0.619	3	1	3	1	1
TP00194	BCL2;NOTCH2	BCL2	NOTCH2	CIT+CIT	Tchem+Tclin	0.441	0.714	0.589	4	0	1	1	1
TP00195	BCL2;PDCD1	BCL2	PDCD1	CET+CIT	Tclin+Tclin	0.359	0.378	1.0	0	0	0	2	2
TP00196	BCL2;PIK3CA	BCL2	PIK3CA	CIT+CIT	Tclin+Tclin	0.47	0.604	0.379	30	0	13	1	1
TP00197	BCL2;PIK3CD	BCL2	PIK3CD	CIT+CIT	Tclin+Tclin	0.407	0.631	0.406	30	0	11	3	2
TP00198	BCL2;PIK3CG	BCL2	PIK3CG	CIT+CIT	Tclin+Tclin	0.404	0.621	0.407	5	0	4	1	2
TP00199	BCL2;ROR1	BCL2	ROR1	CIT+CIT	Tbio+Tclin	0.298	0.565	0.519	0	0	1	1	1
TP00200	BCL2;SLAMF7	BCL2	SLAMF7	CIT+CIT	Tclin+Tclin	0.21	0.378	1.0	0	0	0	1	1
TP00201	BCL2;SYK	BCL2	SYK	CIT+CIT	Tclin+Tclin	0.448	0.703	0.518	5	0	2	1	1
TP00202	BCL2;TNFRSF10A	BCL2	TNFRSF10A	CIT+CIT	Tchem+Tclin	0.295	0.674	0.633	5	0	1	1	2
TP00203	BCL2;TNFRSF10B	BCL2	TNFRSF10B	CIT+CIT	Tbio+Tclin	0.314	0.429	0.543	5	0	3	1	2
TP00204	BIRC2;CD274	BIRC2	CD274	CET+CET	Tchem+Tclin	0.363	0.51	1.0	0	0	0	1	1
TP00205	BIRC2;PDCD1	BIRC2	PDCD1	CET+CET	Tchem+Tclin	0.359	0.445	1.0	0	0	0	6	6
TP00206	BIRC2;TNFRSF10B	BIRC2	TNFRSF10B	CET+CIT	Tbio+Tchem	0.512	0.469	0.5	3	1	2	1	1
TP00207	BIRC3;CD274	BIRC3	CD274	CET+CIT	Tchem+Tclin	0.363	0.482	1.0	0	0	0	1	1
TP00208	BIRC3;PDCD1	BIRC3	PDCD1	CET+CIT	Tchem+Tclin	0.414	0.319	1.0	0	0	0	5	4
TP00209	BIRC3;TNFRSF10B	BIRC3	TNFRSF10B	CIT+CIT	Tbio+Tchem	0.599	0.389	0.419	3	1	2	1	1
TP00210	BIRC5;CD3D	BIRC5	CD3D	CET+CIT	Tchem+Tclin	0.203	0.436	0.669	0	0	0	1	2
